"Ref_N","Reference"
1089,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-314"
1090,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-327"
1091,"Chauhan, D. S., Singh, R., Mishra, S., Dadda, T., & Goyal, S. P. (2006). Estimation of tiger population in an intensive study area of Pakke Tiger Reserve, Arunachal Pradesh, India. Wildlife Institute of India, Dehradun, India."
1092,"Wibisono, H. T., Linkie, M., Guillera-Arroita, G., Smith, J. A., Pusparini, W., Baroto, P., ... & Yunus, M. (2011). Population status of a cryptic top predator: an island-wide assessment of tigers in Sumatran rainforests. PLoS One, 6(11), e25931."
1093,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-331"
1094,"Vongkhamheng, C. (2011). Abundance and distribution of tiger and prey in montane tropical forest in northern Lao People Democratic Republic. University of Florida."
1095,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-310"
1096,"Ash, E., Hallam, C., Chanteap, P., Kaszta, Ż., Macdonald, D. W., Rojanachinda, W., Redford, T., & Harihar, A. (2020). Estimating the density of a globally important tiger (Panthera tigris) population: Using simulations to evaluate survey design in Eastern Thailand. Biological Conservation, 241, 108349."
1097,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-317"
1098,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-304"
1099,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-316"
1100,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-305"
1101,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-307"
1102,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-306"
1103,"Hearn, A. J., Ross, J., Bernard, H., Bakar, S. A., Goossens, B., Hunter, L. T., & Macdonald, D. W. (2017). Responses of Sunda clouded leopard population density to anthropogenic disturbance and refining estimates of their conservation status in Sabah. Oryx, 53(4), 643-653."
1104,"Hearn, A. J., Ross, J., Bernard, H., Bakar, S. A., Hunter, L. T., & Macdonald, D. W. (2016). The first estimates of marbled cat Pardofelis marmorata population density from Bornean primary and selectively logged forest. PloS one, 11(3), e0151046."
1105,"杨剑焕,李敬华,杨浩炫,欧梓键,郑玺,Anthony J.Giordano & 陈辈乐.(2022).基于红外相机数据评估华南地区豹猫的种群密度和活动节律. 生物多样性(09),93-103."
1106,"Bashir, T., Bhattacharya, T., Poudyal, K., Sathyakumar, S., & Qureshi, Q. (2013). Estimating leopard cat Prionailurus bengalensis densities using photographic captures and recaptures. Wildlife Biology, 19(4), 462-472."
1107,"Selvan, M., Lyngdoh, S., Gopi, G. V., & Habib, B. (2014). Density estimation of leopard cat Prionailurus bengalensis using capture-recaptures sampling in lowland forest of Pakke Tiger Reserve, Arunachal Pradesh, India. Mammalia, 78(4), 555-559."
1108,"Yang, J.H, Li, K.W, Yeung, H.Y., Au, T.K., Zheng, X., Giordano, A.J., Chan, B.P.L. (2022). Population density and activity patterns of the leopard cat (Prionailurus bengalensis) in southern China: estimates based on camera-trapping data. Biodiversity Science 30(9): 21357"
1109,"Petersen, W. J., Savini, T., Steinmetz, R., & Ngoprasert, D. (2019). Estimating Leopard Cat Prionailurus bengalensis Kerr, 1792 (Carnivora: Felidae) density in a degraded tropical forest fragment in northeastern Thailand. Journal of Threatened Taxa, 11(4), 13448-13458."
1110,"Adhya, T., Banerjee, S., Dey, P., Nanda, S., Santra, S., & Nesha, I. (2024). Density estimation of the globally threatened fishing cat Prionailurus viverrinus through a participatory science approach in the Chilika lagoon, eastern India. Endangered Species Research, 54, 1-13."
1111,"Elbroch, L. M., Ferguson, J. M., Quigley, H., Craighead, D., Thompson, D. J., & Wittmer, H. U. (2020). Reintroduced wolves and hunting limit the abundance of a subordinate apex predator in a multi-use landscape. Proceedings of the Royal Society B, 287(1938), 20202202."
1112,"Haugaasen, T., & Peres, C. A. (2005). Mammal assemblage structure in Amazonian flooded and unflooded forests. Journal of Tropical Ecology, 21(2), 133-145."
1113,"Loonam, K. E., Ausband, D. E., Lukacs, P. M., Mitchell, M. S., & Robinson, H. S. (2020). Estimating Abundance of an Unmarked, Low‐Density Species using Cameras. The Journal of Wildlife Management, 85(1), 87-96."
1114,"Murphy, S. M., Wilckens, D. T., Augustine, B. C., Peyton, M. A., & Harper, G. C. (2019). Improving estimation of puma (Puma concolor) population density: clustered camera-trapping, telemetry data, and generalized spatial mark-resight models. Scientific reports, 9(1), 4590."
1115,"Franklin, W. L., Johnson, W. E., Sarno, R. J., & Iriarte, J. A. (1999). Ecology of the Patagonia puma Felis concolor patagonica in southern Chile. Biological Conservation, 90(1), 33-40."
1116,"Elbroch, L. M., Williams, S. H., Ohrens, O., Pilgrim, K., Moeller, A., Arroyo‐Arce, S., Parker, M., Goic, D., Robinson, H., Schwartz, M. K. (2023). Comparing abundance estimates of a cryptic carnivore in southern Patagonia using two experimental methods. Animal Conservation, 27(3), 283-292."
1117,"Suryawanshi, K., Reddy, A., Sharma, M., Khanyari, M., Bijoor, A., Rathore, D., ... & Mishra, C. (2021). Estimating snow leopard and prey populations at large spatial scales. Ecological Solutions and Evidence, 2(4), e12115."
1118,"Janečka, J. E., Munkhtsog, B., Jackson, R. M., Naranbaatar, G., Mallon, D. P., & Murphy, W. J. (2011). Comparison of noninvasive genetic and camera-trapping techniques for surveying snow leopards. Journal of Mammalogy, 92(4), 771-783."
1119,"Bian, X., Liang, X., Weckworth, B., Jyal, D., Hull, V., & Yang, L. (2022). Spatial density estimate of the snow leopard, Panthera uncia, in the Central Tibetan Plateau, China. Integrative Zoology, doi: 10.1111/1749-4877.12672"
1120,"McCarthy, K. P., Fuller, T. K., Ming, M., McCarthy, T. M., Waits, L., & Jumabaev, K. (2008). Assessing estimators of snow leopard abundance. The Journal of Wildlife Management, 72(8), 1826-1833."
1121,"Jackson, R. M., Roe, J. D., Wangchuk, R., & Hunter, D. O. (2006). Estimating snow leopard population abundance using photography and capture‐recapture techniques. Wildlife Society Bulletin, 34(3), 772-781."
1122,"Sharma, R. K., Sharma, K., Borchers, D., Bhatnagar, Y. V., Suryawanshi, K. S., & Mishra, C. (2020). Spatial variation in population-density, movement and detectability of snow leopards in a multiple use landscape in Spiti Valley, Trans-Himalaya. bioRxiv."
1123,"Sharma, K., Bayrakcismith, R., Tumursukh, L., Johansson, O., Sevger, P., McCarthy, T., & Mishra, C. (2014). Vigorous dynamics underlie a stable population of the endangered snow leopard Panthera uncia in Tost Mountains, South Gobi, Mongolia. PloS one, 9(7)."
1124,"Oberosler, V., Tenan, S., Groff, C., Krofel, M., Augugliaro, C., Munkhtsog, B., & Rovero, F. (2021). First spatially-explicit density estimate for a snow leopard population in the Altai Mountains. Biodiversity and Conservation, 1-15."
1125,"Kachel, S. M., McCarthy, K. P., McCarthy, T. M., & Oshurmamadov, N. (2017). Investigating the potential impact of trophy hunting of wild ungulates on snow leopard Panthera uncia conservation in Tajikistan. Oryx, 51(4), 597-604."
1126,"Alexander, J. S., Gopalaswamy, A. M., Shi, K., & Riordan, P. (2015). Face value: towards robust estimates of snow leopard densities. PLoS One, 10(8)"
1127,"Massussi, J. A., Djieto-Lordon, C., Njiokou, F., Laveissière, C., & van der Ploeg, J. D. (2009). Influence of habitat and seasonal variation on wild mammal diversity and distribution with special reference to the Trypanosoma brucei gambiense host-reservoir in Bipindi (Cameroon). Acta Tropica, 112(3), 308-315."
1128,"Al-Razi, H., Hasan, S., Ahmed, T., & Muzaffar, S. B. (2020). Density of Nocturnal Mammals in a Forest Patch in Bangladesh. Preprints 10.20944/preprints202008.0014.v1"
1129,"Gorman, M. L. (1979). Dispersion and foraging of the small Indian mongoose, Herpestes auropunctatus (Carnivora: Viverridae) relative to the evolution of social viverrids. Journal of Zoology, 187(1), 65-73."
1130,"Berentsen, A. R., Sauvé, C. C., Rivera-Rodriguez, M. J., Torres-Toledo, F. B., Chipman, R. B., & Gilbert, A. T. (2023). Population Density of the Small Indian Mongoose (Urva auropunctata) Across Multiple Habitat Types and Seasons in Puerto Rico. Caribbean Journal of Science, 53(2), 358-373."
1131,"Hays, W. S., & Conant, S. (2003). Male social activity in the small Indian mongooseHerpestes javanicus. Acta theriologica, 48(4), 485-494."
1132,"Mahmood, T., & Nadeem, M. S. (2011). Population estimates, habitat preference and the diet of small Indian mongoose (Herpestes javanicus) in Potohar Plateau, Pakistan. Pakistan Journal of Zoology, 43(1)."
1133,"Oruh, E. K., Ukpong, E. E., & Ijeomah, H. M. (2019). Diversity and population density of mammals in Cross River National Park, Cross River State, Nigeria. African Journal of Agriculture Technology and Environment 8(1), 133-148."
1134,"Vinks, M. A., Creel, S., Schuette, P., Rosenblatt, E., Matandiko, W., Sanguinetti, C., Banda, K., Goodheart, B., Becker, M., Chifunte, C., Simukonda, C. (2020). Testing the effects of anthropogenic pressures on a diverse African herbivore community. Ecosphere, 11(3), e03067."
1135,"Bateman, A. (2013). Population dynamics in meerkats, Suricata suricatta. Doctoral dissertation, University of Cambridge."
1136,"Clutton‐Brock, T. H., Maccoll, A., Chadwick, P., Gaynor, D., Kansky, R., & Skinner, J. D. (1999). Reproduction and survival of suricates (Suricata suricatta) in the southern Kalahari. African Journal of Ecology, 37(1), 69-80."
1137,"Trinkel, M. (2009). A keystone predator at risk? Density and distribution of the spotted hyena (Crocuta crocuta) in the Etosha National Park, Namibia. Canadian journal of zoology, 87(10), 941-947."
1138,"Yirga, G., Ersino, W., De Iongh, H. H., Leirs, H., Gebrehiwot, K., Deckers, J., & Bauer, H. (2013). Spotted hyena (Crocuta crocuta) coexisting at high density with people in Wukro district, northern Ethiopia. Mammalian Biology, 78(3), 193-197."
1139,"Mills, M. G. L., Juritz, J. M., & Zucchini, W. (2001). Estimating the size of spotted hyaena (Crocuta crocuta) populations through playback recordings allowing for non‐response. Animal Conservation, 4(4), 335-343."
1140,"M'soka, J., Creel, S., Becker, M. S., & Droge, E. (2016). Spotted hyaena survival and density in a lion depleted ecosystem: The effects of prey availability, humans and competition between large carnivores in African savannahs. Biological Conservation, 201, 348-355."
1141,"Searle, C. E., Strampelli, P., Smit, J. B., Mkuburo, L., Mathews, F., Kiwango, H.,  Macdonald, D.W., Loveridge, A.J., & Dickman, A. J. Spotted hyaena population density across habitat and land use types in southern Tanzania. Journal of Zoology, 322(1): 89-100"
1142,"Deneke, Y., Megaze, A., Tekalegn, W., Dobamo, T., & Leirs, H. (2022). Population estimation and livestock loss by spotted hyena (Crocuta crocuta) in Damota community managed forest, Southern Ethiopia. Global Ecology and Conservation, 34, e02037."
1143,"Berger, J. (1994). Science, conservation, and black rhinos. Journal of Mammalogy 75(2): 298-308"
1144,"Edwards, S., Noack, J., Heyns, L., & Rodenwoldt, D. (2019). Evidence of a high-density brown hyena population within an enclosed reserve: The role of fenced systems in conservation. Mammal Research, 64(4), 519-527."
1145,"Panda, D., Mohanty, S., Suryan, T., Pandey, P., Lee, H., & Singh, R. (2022). High striped hyena density suggests coexistence with humans in an agricultural landscape, Rajasthan. PloS one, 17(5), e0266832."
1146,"Fagerudd, J. (2004). The effect of grazing on Aardwolves and how farmers in Namibia perceive the Aardwolf. Master thesis, Uppsala Universitet."
1147,"Hansen, L. A., Mathews, N. E., Vander Lee, B. A., & Lutz, R. S. (2004). Population characteristics, survival rates, and causes of mortality of striped skunks (Mephitis mephitis) on the southern high plains, Texas. The Southwestern Naturalist, 49(1), 54-61."
1148,"Rosatte, R. C., Power, M. J., & MacInnes, C. D. (1992). Density, dispersion, movements and habitat of skunks (Mephitis mephitis) and raccoons (Procyon lotor) in metropolitan Toronto. In Wildlife 2001: populations (pp. 932-944). Springer, Dordrecht."
1149,"Bailey, T. N. (1971). Biology of striped skunks on a southwestern Lake Erie marsh. American Midland Naturalist, 196-207."
1150,"Majelantle, T. L., Ganswindt, A., Jordaan, R. K., Slip, D. J., Harcourt, R., & McIntyre, T. (2021). Increased population density and behavioural flexibility of African clawless otters (Aonyx capensis) in specific anthropogenic environments. Urban Ecosystems, 24(4), 691-699."
1151,"Wright, S. J., Gompper, M. E., & DeLeon, B. (1994). Are large predators keystone species in Neotropical forests? The evidence from Barro Colorado Island. Oikos, 279-294."
1152,"Smith, A. P., & Pile, J. (2024). Koala density, habitat, conservation, and response to logging in eucalyptus forest; a review and critical evaluation of call monitoring. Australian Zoologist, doi: 10.7882/AZ.2024.023"
1153,"Wilson, R. R., St. Martin, M., & Beatty, W. S. (2021). A hierarchical distance sampling model to estimate spatially explicit sea otter density. Ecosphere, 12(9), e03666."
1154,"Mowat, G., Clevenger, A. P., Kortello, A. D., Hausleitner, D., Barrueto, M., Smit, L., Lamb, C. Dorsey, B. & Ott, P. K. (2020). The sustainability of wolverine trapping mortality in southern Canada. The Journal of Wildlife Management, 84(2), 213-226."
1155,"Dupont, P., Milleret, C., Tourani, M., Brøseth, H., & Bischof, R. (2021). Integrating dead recoveries in open‐population spatial capture–recapture models. Ecosphere, 12(7), e03571."
1156,"Awan, M., M. Efford, and J. Boulanger. 2020. Estimates of wolverine density from mark‐recapture DNA sampling, Napaktulik Lake, Kitikmeot Region, Nunavut 2018–2019, final report. Department of Environment, Igloolik, Nunavut, Canada."
1157,"Scrafford, M. A., Seguin, J. L., McCaw, L. K., Boyce, M. S., & Ray, J. C. (2024). Wolverine density, survival, and population trends in the Canadian boreal forest. The Journal of Wildlife Management, e22587."
1158,"Moqanaki, E., Milleret, C., Dupont, P., Brøseth, H., & Bischof, R. (2023). Wolverine density distribution reflects past persecution and current management in Scandinavia. Ecography, e06689."
1159,"Barrueto, M., Sawaya, M.A., Clavenger, A.P. (2020). Low wolverine (Gulo gulo) density in a protected area complex of the Canadian Rocky Mountains. Canadian Journal of Zoology, 98(5), 287-298."
1160,"Royle, J. A., Magoun, A. J., Gardner, B., Valkenburg, P., & Lowell, R. E. (2011). Density estimation in a wolverine population using spatial capture–recapture models. The Journal of wildlife management, 75(3), 604-611."
1161,"Awan, M., & Boulanger, J. (2016). Estimates of wolverine density from mark‐recapture DNA sampling, Aberdeen Lake, Kivalliq Region, Nunavut, 2013–14. Department of Environment, Government of Nunavut, Iqaluit."
1162,"Glass, T. W., & Robards, M. D. Wolverine population density and home range size in Arctic Alaska. The Journal of Wildlife Management, 88(5), e22600."
1163,"Magoun, A. J. 1985. Population characteristics, ecology, and management of wolverines in Northwestern Alaska. PhD dissertation, University of Alaska Fairbanks, Fairbanks, USA."
1164,"Mulders, R., Boulanger, J., & Paetkau, D. (2007). Estimation of population size for wolverines Gulo gulo at Daring Lake, Northwest Territories, using DNA based mark‐recapture methods. Wildlife Biology, 13, 38-51."
1165,"Clare, J., McKinney, S. T., Simons-Legaard, E. M., DePue, J. E., & Loftin, C. S. (2019). Satellite-detected forest disturbance forecasts American marten population decline: The case for supportive space-based monitoring. Biological Conservation, 233: 336-345."
1166,"Linnell, M. A., Moriarty, K., Green, D. S., & Levi, T. (2018). Density and population viability of coastal marten: a rare and geographically isolated small carnivore. PeerJ, 6, e4530."
1167,"Herr, J., Schley, L., & Roper, T. J. (2009). Socio‐spatial organization of urban stone martens. Journal of Zoology, 277(1), 54-62."
1168,"Twining, J. P., McFarlane, C., O'Meara, D., O'Reilly, C., Reyne, M., Montgomery, W. I., Helyar, S., Tosh, D.G., Augustine, B. C. (2022). A comparison of density estimation methods for monitoring marked and unmarked animal populations. Ecosphere, 13(10), e4165."
1169,"Lynch, A. B., Brown, M. J. F., & Rochford, J. M. (2006). Fur snagging as a method of evaluating the presence and abundance of a small carnivore, the pine marten (Martes martes). Journal of Zoology, 270(2), 330-339."
1170,"O’Mahony, D. T., Powell, C., Power, J., Hanniffy, R., Marnell, F., Turner, P., & O’Reilly, C. (2017). Non-invasively determined multi-site variation in pine marten Martes martes density, a recovering carnivore in Europe. European Journal of Wildlife Research, 63(3), 48."
1171,"Manzo, E., Bartolommei, P., Rowcliffe, J. M., & Cozzolino, R. (2012). Estimation of population density of European pine marten in central Italy using camera trapping. Acta Theriologica, 57(2), 165-172."
1172,"Croose, E., Birks, J. D., Martin, J., Ventress, G., MacPherson, J., & O’Reilly, C. (2019). Comparing the efficacy and cost-effectiveness of sampling methods for estimating population abundance and density of a recovering carnivore: the European pine marten (Martes martes). European Journal of Wildlife Research, 65(3), 37."
1173,"Burgar, J. M., Stewart, F. E., Volpe, J. P., Fisher, J. T., & Burton, A. C. (2018). Estimating density for species conservation: Comparing camera trap spatial count models to genetic spatial capture-recapture models. Global Ecology and Conservation, 15, e00411."
1174,"Koen, E. L., Bowman, J., Findlay, C. S., & Zheng, L. (2007). Home range and population density of fishers in eastern Ontario. The Journal of wildlife management, 71(5), 1484-1493."
1175,"Thompson, C. M., Royle, J. A., & Garner, J. D. (2012). A framework for inference about carnivore density from unstructured spatial sampling of scat using detector dogs. The Journal of Wildlife Management, 76(4), 863-871."
1176,"吴佳忆,袁乃秀,申立泉,周鑫,吕青昕,耿硕,杨歆雨,郑启泽,朱印酒,盛岩, 孟秀祥.(2023).太行山东北部区域野生动物损害及损害补偿. 生态学报(07),2605-2613. "
1177,"袁日阳.(2019).内蒙古大青山国家级自然保护区鸟类兽类物种多样性调查(硕士学位论文,内蒙古师范大学). https://kns.cnki.net/kcms2/article/abstract?v=gR09I6yibQ7i1xX5T2qYs_vcMSafxOTqWOWZ_-th1FXFz4KaQ6UeJAtFn14RtTcSsX7HygLWiE9hreqrzAPeW9u34LzRUkWcFRK9qM1bdTrvGzwqRmvu2YjI-i8-22ZQfGX9Loge25Y=&uniplatform=NZKPT&language=CHS"
1178,"Van Apeldoorn, R. C., Vink, J., & Matyáštík, T. (2006). Dynamics of a local badger (Meles meles) population in the Netherlands over the years 1983–2001. Mammalian Biology-Zeitschrift für Säugetierkunde, 71(1), 25-38."
1179,"Jacquier, M., Vandel, J. M., Léger, F., Duhayer, J., Pardonnet, S., Say, L., Devillard, S., Ruette, S. (2021). Breaking down population density into different components to better understand its spatial variation. BMC Ecology and Evolution, 21(1), 1-13."
1180,"Matyáštík, T., & Bičík, V. (1999). Distribution and habitat selection of badger (Meles meles) in northern Moravia. Acta Universitatis Palackianae Olomucensis Facultas Rerum Naturalium Biologica, 37, 77-88."
1181,"Rogers, L. M., Cheeseman, C. L., Mallinson, P. J., & Clifton‐Hadley, R. (1997). The demography of a high‐density badger (Meles meles) population in the west of England. Journal of Zoology, 242(4), 705-728."
1182,"Seiler, A., Lindström, E., & Stenström, D. (1995). Badger abundance and activity in relation to fragmentation of foraging biotopes. Annales Zoologici Fennici 32: 37-45"
1183,"Skinner, C. A., & Skinner, P. J. (1988). Food of badgers (Meles meles) in an arable area of Essex. Journal of Zoology, 215(2), 360-362."
1184,"Kowalczyk, R., Bunevich, A. N., & Jędrzejewska, B. (2000). Badger density and distribution of setts in Białowieża Primeval Forest (Poland and Belarus) compared to other Eurasian populations. Acta Theriologica, 45(3), 395-408."
1185,"Do Linh San, E. Ferrari, N., & Weber, J. M. (2007). Spatio-temporal ecology and density of badgers Meles meles in the Swiss Jura Mountains. European Journal of Wildlife Research, 53(4), 265-275."
1186,"Aaris-Sørensen, J. (1987). Past and present distribution of badgers Meles meles in the Copenhagen area. Biological Conservation, 41(3), 159-165."
1187,"Schley, L., Schaul, M., & Roper, T. J. (2004). Distribution and population density of badgers Meles meles in Luxembourg. Mammal Review, 34(3), 233-240"
1188,"Silva, M., Rosalino, L.M., Alcobia, S., & Santos‐Reis, M. (2021). Sett Use, Density and Breeding Phenology of Badgers in Mediterranean Agro-Sylvo-Pastoral Systems. Animals : an Open Access Journal from MDPI, 11."
1189,"Kruuk, H. H., & Parish, T. (1987). Changes in the size of groups and ranges of the European badger (Meles meles L.) in an area in Scotland. The Journal of Animal Ecology, 351-364."
1190,"Goszczynsky, J., & Skoczynska, J. (1996). Density estimation, family group size and recruitment in a badger population near Rogów (Central Poland). Miscellània Zoològica, 19(2), 27-33."
1191,"Do Linh San, E., Ferrari, N., & Weber, J. M. (2007). Socio-spatial organization of Eurasian badgers (Meles meles) in a low-density population of central Europe. Canadian Journal of Zoology, 85(9), 973-984."
1192,"Revilla, E., Delibes, M., Travaini, A., & Palomares, F. (1999). Physical and population parameters of eurasian badgers (Meles meles L.) from mediterranean Spain. Zeitschrift für Säugetierkunde 64, 269–276"
1193,"Macdonald, D. W., & Newman, C. (2002). Population dynamics of badgers (Meles meles) in Oxfordshire, UK: numbers, density and cohort life histories, and a possible role of climate change in population growth. Journal of Zoology, 256(1), 121-138."
1194,"Palphramand, K. L., Newton-Cross, G., & White, P. C. (2007). Spatial organization and behaviour of badgers (Meles meles) in a moderate-density population. Behavioral Ecology and Sociobiology, 61(3), 401-413"
1195,"Molina-Vacas, G., Bonet-Arboli, V., Rafart-Plaza, E., & Rodriguez-Teijeiro, J. D. (2009). Spatial ecology of European badgers (Meles meles L.) in Mediterranean habitats of the north-eastern Iberian Peninsula. I: home range size, spatial distribution and social organization. Vie et milieu, 59(3), 223."
1196,"Rodríguez, A., Martin, R., & Delibes, M. (1996). Space use and activity in a Mediterranean population of badgers Meles meles. Acta Theriologica, 41(1), 59-72."
1197,"Cheeseman, C. L., Jones, G. W., Gallagher, J., & Mallinson, P. J. (1981). The population structure, density and prevalence of tuberculosis (Mycobacterium bovis) in badgers (Meles meles) from four areas in south-west England. Journal of Applied Ecology, 795-804."
1198,"Kruuk, H., & Parish, T. (1982). Factors affecting population density, group size and territory size of the European badger, Meles meles. Journal of Zoology, 196(1), 31-39."
1199,"Sleeman, D. P., Cussen, R. E., Southey, A. K., & O'Leary, D. (2002). The Badgers Meles meles (L.) of Coney Island, Co Sligo. The Irish Naturalists' Journal, 10-18."
1200,"Feore, S., & Montgomery, W. I. (1999). Habitat effects on the spatial ecology of the European badger (Meles meles). Journal of Zoology, 247(4), 537-549."
1201,"O'Corry-Crowe, G., Hammond, R., Eves, J., & Hayden, T. J. (1996). The effect of reduction in badger density on the spatial organisation and activity of badgers Meles meles L. in relation to farms in central Ireland. In Biology and Environment: Proceedings of the Royal Irish Academy (pp. 147-158). Royal Irish Academy."
1202,"Kowalczyk, R., Zalewski, A., Jedrzejewska, B., & Jedrzejewski, W. (2003). Spatial organization and demography of badgers (Meles meles) in Bialowieza Primeval Forest, Poland, and the influence of earthworms on badger densities in Europe. Canadian Journal of Zoology, 81(1), 74-87."
1203,"Rosalino, L. M., Macdonald, D. W., & Santos-Reis, M. (2004). Spatial structure and land-cover use in a low-density Mediterranean population of Eurasian badgers. Canadian Journal of Zoology, 82(9), 1493-1502."
1204,"Hounsome, T. D., Young, R. P., Davison, J., Yarnell, R. W., Trewby, I. D., Garnett, B. T., Delahay, R.J., & Wilson, G. J. (2005). An evaluation of distance sampling to estimate badger (Meles meles) abundance. Journal of Zoology, 266(1), 81-87."
1205,"Sidorovich, V. E., Rotenko, I. I., & Krasko, D. A. (2011, March). Badger Meles meles spatial structure and diet in an area of low earthworm biomass and high predation risk. In Annales Zoologici Fennici (Vol. 48, No. 1, pp. 1-16). Finnish Zoological and Botanical Publishing Board."
1206,"Hofmeester, T. R., Erath, N., Mos, J., & Thurfjell, H. (2024). Mustelid mugshots: photographing facial masks of European polecats (Mustela putorius) for individual recognition and density estimation using camera traps. Mammal Research, 69, 435–443."
1207,"Fuller, A. K., Sutherland, C. S., Royle, J. A., & Hare, M. P. (2016). Estimating population density and connectivity of American mink using spatial capture–recapture. Ecological Applications, 26(4), 1125-1135."
1208,"Goodrich, J. M., Buskirk, S. W. (1998). Spacing and ecology of North American badgers (Taxidea taxus) in a prairie-dog (Cynomys leucurus) complex. Journal of Mammalogy 79(1): 171-179"
1209,"Charles-Dominique, D. (1978). Ecologie et vie sociale de Nandinia binotata (Carnivores, Viverrides): Comparaison avec les prosimiens sympatriques du Gabon. La Terre et la Vie 32: 477-528"
1210,"Carretta, J. V., Lowry, M. S., Stinchcomb, C., Lynn, M. S., & Cosgrove, R. E. (2000). Distribution and abundance of marine mammals at San Clemente Island and surrounding offshore waters: results from aerial and ground surveys in 1998 and 1999. Southwest Fisheries Science Center Administrative Report LJ-00-02: 43 pp."
1211,"Jefferson, T.A., Smultea, M.A., Bacon, C.E. (2013). Density and Abundance of Marine Mammals Derived from 2008-2013 Aerial Surveys within the Navy’s Southern California Range Complex. Final Report. Prepared for Commander, U.S. Pacific Fleet, Pearl Harbor, Hawaii. Submitted to Naval Facilities Engineering Command Southwest (NAVFAC SW), EV5 Environmental, San Diego, CA 92132 under Contract No. N62470-10-D-3011 issued to HDR, Inc., San Diego, California."
1212,"Bester, M. N., Erickson, A. W., & Ferguson, J. W. H. (1995). Seasonal change in the distribution and density of seals in the pack ice off Princess Martha Coast, Antarctica. Antarctic Science, 7(4), 357-364."
1213,"Eklund, C. R., & Atwood, E. L. (1962). A population study of Antarctic seals. Journal of Mammalogy, 43(2), 229-238."
1214,"Bester, M. N., Ferguson, J. W. H., & Jonker, F. C. (2002). Population densities of pack ice seals in the Lazarev Sea, Antarctica. Antarctic Science, 14(2), 123-127."
1215,"Ampela, K., Jefferson, T. A., & Smultea, M. A. (2021). Estimation of in‐water density and abundance of harbor seals. The Journal of Wildlife Management, 85(4), 706-712."
1216,"Pontes, A. R. M., & Chivers, D. J. (2002). Abundance, Habitat Use and Conservation of the Olingo Bassaricyon sp. in Maracá Ecological Station, Roraima, Brazilian Amazonia. Studies on Neotropical Fauna and Environment, 37(2), 105-109."
1217,"Harrison, R. L. (2013). Ringtail (Bassariscus astutus) noninvasive survey methods, density, and occupancy in central New Mexico, USA. Western North American Naturalist, 73(3), 365-372."
1218,"Gompper, M.E. (1997). Population ecology of the white‐nosed coati (Nasua narica) on Barro Colorado Island, Panama. Journal of Zoology, 241(3), 441-455."
1219,"Cullen Jr., L., Bodmer, E.R. & Valladares-Padua, C. (2001) Ecological consequences of hunting in Atlantic forest patches, Sao Paulo, Brazil. Oryx, 35, 137-144."
